start_time,20221027-124848,,,,,,,,,,,,,,,
Nifft,128,,,,,,,,,,,,,,,
Ncarrier,128,,,,,,,,,,,,,,,
qAry,2,,,,,,,,,,,,,,,
Symbol_len,128,,,,,,,,,,,,,,,
Symbol_num,1,,,,,,,,,,,,,,,
ldpc_rate,0.5,,,,,,,,,,,,,,,
L,16,,,,,,,,,,,,,,,
PathGain,0.743235868,0.945305677,0.039365647,0.044850758,0.747439672,0.24430573,0.811045803,0.829342247,0.393567169,0.802750148,0.2731503,0.187898347,0.394168704,0.688893677,0.243588224,0.000825843
SNR,-20,-17.5,-15,-12.5,-10,-7.5,-5,-2.5,0,2.5,5,7.5,10,,,
ErrorFrame,20,,,,,,,,,,,,,,,
TestFrame,5000,,,,,,,,,,,,,,,
Encode_method,,,,,,,,,,,,,,,,
ncodebooks,64,,,,,,,,,,,,,,,
ncentroids,16,,,,,,,,,,,,,,,
matmul_method,PQ-LDPC-IDFT(K=16 C=64)-diffPG,,,,,,,,,,,,,,,
SNR,BER,FER,NMSE_dft,NMSE_idft,H_NMSE,rawH_NMSE,,,,,,,,,,
-20,0.455859375,1,5.38E-32,0.613352391,0.347684156,0.974005287,,,,,,,,,,
-17.5,0.438671875,1,5.81E-32,0.264631005,0.236437076,0.682088474,,,,,,,,,,
-15,0.408984375,1,5.34E-32,0.199215773,0.190455215,0.456670017,,,,,,,,,,
-12.5,0.3890625,1,5.29E-32,0.111294489,0.127584883,0.335702342,,,,,,,,,,
-10,0.342578125,1,5.43E-32,0.083164211,0.099050819,0.217109041,,,,,,,,,,
-7.5,0.299609375,1,5.54E-32,0.060670506,0.067600928,0.125892089,,,,,,,,,,
-5,0.1984375,1,5.46E-32,0.051416095,0.056122125,0.094746455,,,,,,,,,,
-2.5,0.034108232,0.243902439,5.44E-32,0.04923611,0.046662273,0.063230412,,,,,,,,,,
0,0.003582868,0.026281209,5.42E-32,0.043587515,0.040748058,0.052570886,,,,,,,,,,
2.5,0.000234375,0.0016,5.42E-32,0.04178776,0.037537161,0.044166963,,,,,,,,,,
