start_time,20221026-200534,,,,,,,,,,,,,,,
Nifft,128,,,,,,,,,,,,,,,
Ncarrier,128,,,,,,,,,,,,,,,
qAry,2,,,,,,,,,,,,,,,
Symbol_len,128,,,,,,,,,,,,,,,
Symbol_num,1,,,,,,,,,,,,,,,
ldpc_rate,0.5,,,,,,,,,,,,,,,
L,16,,,,,,,,,,,,,,,
PathGain,1,0.94,0.88,0.82,0.76,0.7,0.64,0.58,0.52,0.46,0.4,0.34,0.28,0.22,0.16,0.1
SNR,-20,-17.5,-15,-12.5,-10,-7.5,-5,-2.5,0,2.5,5,7.5,10,,,
ErrorFrame,20,,,,,,,,,,,,,,,
TestFrame,5000,,,,,,,,,,,,,,,
Encode_method,,,,,,,,,,,,,,,,
ncodebooks,128,,,,,,,,,,,,,,,
ncentroids,16,,,,,,,,,,,,,,,
matmul_method,MAD-LDPC-IDFT(K=16 C=128),,,,,,,,,,,,,,,
SNR,BER,FER,NMSE_dft,NMSE_idft,H_NMSE,rawH_NMSE,,,,,,,,,,
-20,0.48046875,1,5.25E-32,1.310733937,0.445107141,0.88757452,,,,,,,,,,
-17.5,0.44609375,1,5.30E-32,0.850583266,0.338187871,0.54630903,,,,,,,,,,
-15,0.4,1,5.15E-32,0.354002409,0.225385508,0.365048987,,,,,,,,,,
-12.5,0.35234375,1,5.11E-32,0.180441368,0.153209389,0.280755364,,,,,,,,,,
-10,0.31375,1.0,7.295184944777151e-32,0.09300807636980396,0.09316415078622743,0.16988635853468104
-7.5,0.24265625,1.0,7.070554768902831e-32,0.048854387238759706,0.05758225957656546,0.11283296591830796
-5,0.084051724,0.689655172,5.54E-32,0.025707431,0.035891048,0.066346731,,,,,,,,,,
-2.5,0.010791367,0.071942446,5.56E-32,0.017135861,0.022091029,0.041277557,,,,,,,,,,
0,0.0007018561484918793,0.004640371229698376,7.439823124773481e-32,0.014272908304855496,0.017345616159381842,0.028964376975926333
2.5,2.3828125e-05,0.0001,7.434081036074012e-32,0.012637103384561595,0.014378436639721864,0.02097269180784588

