start_time,20221026-161803,,,,,,,,,,,,,,,
Nifft,128,,,,,,,,,,,,,,,
Ncarrier,128,,,,,,,,,,,,,,,
qAry,2,,,,,,,,,,,,,,,
Symbol_len,128,,,,,,,,,,,,,,,
Symbol_num,1,,,,,,,,,,,,,,,
ldpc_rate,0.5,,,,,,,,,,,,,,,
L,16,,,,,,,,,,,,,,,
PathGain,1,0.94,0.88,0.82,0.76,0.7,0.64,0.58,0.52,0.46,0.4,0.34,0.28,0.22,0.16,0.1
SNR,-20,-17.5,-15,-12.5,-10,-7.5,-5,-2.5,0,2.5,5,7.5,10,,,
ErrorFrame,20,,,,,,,,,,,,,,,
TestFrame,5000,,,,,,,,,,,,,,,
Encode_method,,,,,,,,,,,,,,,,
ncodebooks,64,,,,,,,,,,,,,,,
ncentroids,16,,,,,,,,,,,,,,,
matmul_method,Exact-LDPC,,,,,,,,,,,,,,,
SNR,BER,FER,NMSE_dft,NMSE_idft,H_NMSE,rawH_NMSE,,,,,,,,,,
-20.0,0.473828125,1.0,0.0,0.0,0.0,1.4256568146151931
-17.5,0.451171875,1.0,0.0,0.0,0.0,0.947736432543058
-15.0,0.41953125,1.0,0.0,0.0,0.0,0.550236157692028
-12.5,0.369921875,1.0,0.0,0.0,0.0,0.25512478648468606
-10.0,0.283984375,1.0,0.0,0.0,0.0,0.13351088408078754
-7.5,0.21576286764705882,0.9803921568627451,0.0,0.0,0.0,0.08540217003853383
-5,0.08142361111111111,0.5555555555555556,0.0,0.0,0.0,0.04881001729845955
-2.5,0.011957484499557131,0.08857395925597875,0.0,0.0,0.0,0.027172576278453764
0,0.000360938,0.003,0,0,0,0.015352682,,,,,,,,,,
2.5,1.41E-05,0.0004,0,0,0,0.008683139,,,,,,,,,,
5,0,0,0,0,0,0.004863956,,,,,,,,,,
